Date,High,Low,Open,Close,Avg,Volume
2015-01-05,39.9,39.8,39.9,39.8,39.81,32439.0
2015-01-06,39.7,38.0,39.7,39.0,38.73,12500.0
2015-01-07,40.0,39.0,39.4,39.0,39.14,7800.0
2015-01-08,38.9,37.8,38.2,38.9,37.9,7820.0
2015-01-09,38.9,38.0,38.5,38.0,38.48,15120.0
2015-01-12,38.2,38.2,38.2,38.2,38.2,50.0
2015-01-13,39.0,38.0,38.0,38.5,38.15,2650.0
2015-01-14,39.0,37.8,38.0,39.0,38.07,600.0
2015-01-15,39.0,38.0,38.7,38.0,38.03,14050.0
2015-01-16,38.0,37.8,38.0,38.0,37.98,1280.0
2015-01-19,38.0,37.8,37.8,38.0,37.98,1100.0
2015-01-20,38.0,37.9,37.9,38.0,37.99,2240.0
2015-01-21,37.7,37.5,37.6,37.5,37.54,4880.0
2015-01-22,38.4,37.5,37.5,38.0,37.99,2060.0
2015-01-23,38.3,37.4,38.3,37.4,37.53,11520.0
2015-01-26,38.0,37.0,37.4,38.0,37.07,1730.0
2015-01-27,37.5,37.0,37.5,37.5,37.24,12510.0
2015-01-28,37.5,37.5,37.5,37.5,37.5,1000.0
2015-01-29,37.6,36.8,36.8,37.6,37.53,1110.0
2015-01-30,37.6,37.6,37.6,37.6,0.0,0.0
2015-02-02,37.5,37.0,37.0,37.5,37.48,200.0
2015-02-03,37.4,37.0,37.0,37.0,37.02,250.0
2015-02-04,37.9,36.3,37.0,37.0,36.44,50620.0
2015-02-05,36.8,35.8,36.5,36.8,36.27,56850.0
2015-02-06,37.9,36.8,36.8,37.5,37.24,1320.0
2015-02-09,37.8,37.4,37.8,37.4,37.6,40.0
2015-02-10,37.0,37.0,37.0,37.0,37.0,210.0
2015-02-11,37.0,36.5,37.0,37.0,36.88,4230.0
2015-02-12,37.5,36.5,37.0,37.5,37.22,1600.0
2015-02-13,37.0,36.1,36.1,37.0,36.26,2500.0
2015-02-24,37.4,36.4,37.0,37.3,37.03,510.0
2015-02-25,36.9,36.9,36.9,36.9,36.9,400.0
2015-02-26,37.5,36.9,37.0,37.2,37.07,54530.0
2015-02-27,37.5,36.8,37.5,37.2,37.15,3300.0
2015-03-02,37.7,36.5,37.7,36.5,36.72,2300.0
2015-03-03,36.9,36.1,36.8,36.8,36.26,6740.0
2015-03-04,37.5,36.7,37.0,36.8,36.91,20970.0
2015-03-05,37.4,36.7,37.0,37.4,37.08,259410.0
2015-03-06,37.4,36.8,37.4,37.1,36.93,18560.0
2015-03-09,37.1,36.8,36.8,37.1,37.07,1190.0
2015-03-10,37.2,36.8,37.1,37.2,37.04,23040.0
2015-03-11,37.2,37.0,37.0,37.2,37.08,40530.0
2015-03-12,37.4,36.8,37.2,37.4,37.16,21810.0
2015-03-13,38.1,37.4,37.4,38.1,37.79,9070.0
2015-03-16,38.4,37.1,38.1,38.1,38.09,18890.0
2015-03-17,38.4,38.0,38.1,38.4,38.1,27810.0
2015-03-18,38.9,38.4,38.4,38.9,38.46,16020.0
2015-03-19,41.6,39.0,39.0,41.6,41.57,163240.0
2015-03-20,44.4,42.0,44.4,43.4,43.5,56190.0
2015-03-23,44.0,42.0,43.4,43.4,42.82,378200.0
2015-03-24,42.7,41.8,42.5,42.1,42.14,294000.0
2015-03-25,42.9,41.5,41.5,42.0,42.21,156090.0
2015-03-26,42.4,42.0,42.2,42.4,42.21,504710.0
2015-03-27,43.0,43.0,43.0,43.0,43.0,154540.0
2015-03-30,43.3,43.0,43.3,43.0,43.0,1310.0
2015-03-31,43.8,43.8,43.8,43.8,43.8,50.0
2015-04-01,44.0,43.5,43.5,44.0,43.67,38157.0
2015-04-02,44.5,43.6,44.0,44.5,44.0,12450.0
2015-04-03,45.0,44.1,44.8,45.0,44.99,5610.0
2015-04-06,46.0,44.5,46.0,45.0,45.66,160490.0
2015-04-07,45.0,44.5,45.0,45.0,44.88,40.0
2015-04-08,46.0,44.9,45.0,46.0,45.59,275540.0
2015-04-09,46.1,45.5,46.0,46.1,45.99,577930.0
2015-04-10,48.9,46.5,46.5,46.7,46.8,548260.0
2015-04-13,47.8,46.7,47.0,47.5,47.04,346360.0
2015-04-14,48.0,47.5,47.5,48.0,47.95,117000.0
2015-04-15,48.5,48.0,48.0,48.0,48.01,22510.0
2015-04-16,50.0,48.9,48.9,49.5,49.54,224690.0
2015-04-17,49.5,48.0,49.4,49.5,48.56,11100.0
2015-04-20,49.0,48.5,48.7,49.0,48.93,38220.0
2015-04-21,49.4,48.5,49.0,49.4,48.96,204710.0
2015-04-22,49.4,48.7,48.7,49.4,49.39,4940.0
2015-04-23,49.0,48.0,49.0,48.5,48.55,460.0
2015-04-24,51.5,49.0,49.0,51.0,51.22,6880.0
2015-04-27,51.0,48.5,51.0,48.5,49.94,2490.0
2015-05-04,50.5,48.0,50.5,48.5,48.45,900.0
2015-05-05,48.5,48.5,48.5,48.5,48.5,1030.0
